ts,magnitudes,longitude,latitude,,
2024/2/26 12:2:0.14,3.7,77.202,36.679,,
2024/2/26 9:28:45.088,4.3,78.469,41.121,,
2024/2/26 6:54:32.281,2.2,78.461,41.089,,
2024/2/26 5:41:9.06,2.3,78.42,41.14,,
2024/2/26 3:13:20.647,2.2,83.724,41.926,,
2024/2/26 2:42:20.397,2.6,83.913,41.249,,
2024/2/26 2:36:52.613,2.7,81.467,44.214,,
2024/2/26 0:14:9.492,2.2,79.455,40.322,,
2024/2/25 23:5:53.271,2.8,83.794,41.367,,
2024/2/25 21:18:23.267,2.4,78.403,41.127,,
2024/2/25 20:56:14.557,2.1,76.858,39.464,,
2024/2/25 19:50:25.556,2.8,78.477,41.124,,
2024/2/25 18:58:25.578,2,78.412,41.124,,
2024/2/25 18:44:13.844,2.4,78.421,41.122,,
2024/2/25 18:41:37.008,2.4,77.719,40.256,,
2024/2/25 17:18:26.532,1.9,78.515,41.065,,
2024/2/25 16:58:56.999,2.4,83.522,41.369,,
2024/2/25 16:3:57.467,2.5,78.596,41.122,,
2024/2/25 15:22:22.849,2,78.376,41.118,,
2024/2/25 15:18:37.274,1.9,78.529,40.966,,
2024/2/25 15:14:44.855,2.6,83.697,41.356,,
2024/2/25 14:58:45.362,2.6,78.465,41.088,,
2024/2/25 14:55:47.819,2.1,78.437,41.147,,
2024/2/25 14:28:58.309,2.1,78.428,41.133,,
2024/2/25 13:36:35.966,3.1,78.468,41.132,,
2024/2/25 13:28:58.545,2.7,78.326,35.973,,
2024/2/25 12:59:11.787,2.4,78.43,41.119,,
2024/2/25 12:57:14.419,2.9,78.467,41.085,,
2024/2/25 12:54:14.232,2,78.431,41.15,,
2024/2/25 12:48:47.252,2.6,78.452,41.091,,
2024/2/25 12:41:31.504,1.9,78.476,41.08,,
2024/2/25 12:35:20.909,2.1,78.414,41.156,,
2024/2/25 12:29:23.646,3,78.791,41.309,,
2024/2/25 12:14:52.806,5.7,78.473,41.111,,
2024/2/25 10:7:1.871,1.9,85.857,42.591,,
2024/2/25 9:26:37.701,3.1,78.751,41.282,,
2024/2/25 8:7:26.442,2,78.796,41.324,,
2024/2/25 5:19:22.077,1.9,88.385,43.101,,
2024/2/25 3:52:14.037,2.5,83.711,41.313,,
2024/2/25 3:40:58.952,1.9,90.174,43.299,,
2024/2/25 2:42:14.549,2.5,83.847,41.31,,
2024/2/24 22:53:30.687,2.3,75.828,37.876,,
2024/2/24 20:8:21.696,2.6,75.201,39.454,,
2024/2/24 18:49:49.35,3.6,75.134,38.991,,
2024/2/24 16:57:24.922,2,82.91,36.19,,
2024/2/24 11:42:20.514,2.1,78.516,41.01,,
2024/2/24 6:58:47.082,5.2,78.596,41.086,,
2024/2/24 2:2:50.106,2.6,78.623,41.152,,
2024/2/24 1:15:58.93,2,78.661,41.085,,
2024/2/24 0:4:48.497,2.2,77.268,40.354,,
2024/2/23 21:1:14.366,2.6,78.028,37.624,,
2024/2/23 19:21:31.466,2.4,78.312,40.941,,
2024/2/23 18:51:41.136,3,78.619,41.125,,
2024/2/23 18:36:41.572,2.2,78.876,41.302,,
2024/2/23 18:33:0.007,4.5,78.574,41.175,,
2024/2/23 18:25:14.302,1.9,78.627,41.176,,
2024/2/23 18:2:28.281,2.2,80.503,36.402,,
2024/2/23 17:15:41.111,3,78.483,41.012,,
2024/2/23 17:13:24.968,2.6,77.951,37.645,,
2024/2/23 16:36:46.152,2.2,83.18,37.7,,
2024/2/23 16:6:5.333,2.4,83.804,41.404,,
2024/2/23 15:42:39.07,2.1,80.555,42.164,,
